n	bytes	sha256	path
18	19234	85220a2b63141214b46848d32109a20363ce405aff58111bd832d223e57dfcdf	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(B)_Chapter_2:_Living_Sacrifice.txt
19	20517	3d9d8da6073bd30cb6e9aacce9d855f9365b4cf1540308bacbcf8e753e0cf43d	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(B)_Chapter_3-_Lift_Up.txt
20	20545	7478872cad7ce34c034dd9f300064a42ac0704449478355d58aa14dd5316611a	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(B)_Chapter_3:_Lift_Up.txt
21	20546	ad683e6697ef059092100b6fd6acda20d92fbd15151562e936488242d6ecee9b	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(B)_Chapter_5-_The_Snare.txt
22	22160	5cc31fa80ca47feea9625cc4df31c077677c02293ff75cf5e8872a3a92ad533f	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(B)_Chapter_6_-_Beelzebub,_Beelzebub.txt
23	21400	24dedd6b39a682863d99b7a23dbdb00dbbc6fce07b5bde3722fe2e6da6c524d2	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(B)_Chapter_7:_The_Pit.txt
24	20049	08c436a8abb618701b29882882af371876b6533e5c52510fdc1d7a32df970895	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(B)_Chapter_9:_The_Ascent.txt
25	20047	2f87ee40988db8da93ebbeded84f5c9114589e27b096553255032f93ac95dfee	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(B)_Stardust_to_Stardust.txt
26	17219	5a8485de48c479065c11f25d19907c32608f8c597b296734e83535bb99285bfc	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(C)Chapter_8:_Sea_People.txt
27	21142	1a96bb1fec0d74558af5b735b8ca427a1f4678770f7e87fdcc429b66fb4c74ac	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(C)_Chapter:_1_-_Stardust_to_Stardust_.txt
28	27331	da8e66d64d3fb582fb10b20a2a91c23521cd595c51561cda212d504838031f6c	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(C)_Chapter:_7_-_The_Pit.txt
29	21088	6d0ce0bb5426de515ab23d7cc40c9b661093b63a7da8cea169852257c51099b0	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(C)_Chapter:_Stardust_to_Stardust.txt
30	21548	2909bfe98ae04ca1e21a98042461df199e323a7b7309d18c9129648be0fd63ef	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(C)_Chapter_1-_Stardust_to_Stardust.txt
31	21212	c2621a15b2ea5bfd708d6e5854ddcd5dfc07b0216be11b36a5341633b3cd5bc8	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(C)_Chapter_1_-_Stardust_to_Stardust.txt
32	18680	5ece978793d556112bb75ae99783d2e7f1190ef03c72cdc38a69cf1f6f58af04	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(C)_Chapter_2-_Living_Sacrifice.txt
33	20200	fd6cf4a4a2d064ec7df4826c2ed32fd8ff8038551310953f61586fd898bc2578	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(C)_Chapter_3-_Lift_Up.txt
34	21752	504ddd9133cd364406ee2ee5b8834f06d86606e74c00e2d58a69f7a67f19ac14	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(C)_Chapter_3_-_Lift_Up.txt
35	17991	d8ecbb62ae56200bcafc3fdf820fe7ca9e055ea8c4ae38d50b9bc4d6da180826	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(C)_Chapter_4-_Pilgrimage.txt
36	19881	f0e6ae6ae3902689c2d7e18a2bc18eb213def67dd7106f2cbfa55c7a8dd40d8d	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(C)_Chapter_4_-_Pilgrimage.txt
37	23717	a803dbd7af7719481a24a5de9a6ae90b1fa2126e86c3da127e187b6bae5e4061	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(C)_Chapter_6-_Beelzebub,_Beelzebub.txt
39	23090	229704dddec3ca52b16392d570006e3bc13fd67ee3b2b76bb9eafa40c7784a78	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(D)_Chapter_1_-_Stardust_to_Stardust.txt
40	18607	f50d30783ec1f604c8bd92cce434bc8df5462b37505120dd42b886a36195a6db	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(D)_Chapter_2-_Living_Sacrifice.txt
41	19019	9ad5e23d234485c5648ce63ddbaef700ab0b738fae4b01c7146c05c7b7ddc409	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(D)_Chapter_2_-_Living_Sacrifice.txt
42	21595	9a5584254f94099f2985fce6deb213a0e7254ff898d96a498a5f7d1d23ed8043	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(E)_Chapter_1-_Stardust_to_Stardust.txt
43	23083	8a1e5d0606c4fe3d380539fac8dd9d0d1df24d08595f6f268b071d23aad9d395	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(E)_Chapter_1_-_Stardust_to_Stardust.txt
44	23222	8262e86950e194f03896b2883a4c917c3e2acccb318f7e9b446fb18f0e56cb2d	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(E)_Chapter_2-_Living_Sacrifice.txt
45	10827	3773b4620c5bddaf9e333b88204a65d90fb7d4563ec29a9be0bc5c965f524e93	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(E)_Chapter_2_-_Living_Sacrifice.txt
46	16482	e84f49ee2b1b4dcac958abb6e910e842354af27cfe35b1e40b49853739112042	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(E)_Chapter_3-_Lift_Up.txt
47	12506	2a7d8e1b1e1635fe69189c94f52e37b9bc3e464cb2ec1cc9efa1f550e69762c0	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(F)_Chapter:_1_Stardust_to_Stardust_.txt
48	27311	7449a3e80f9354dd366fc8894aa9b4ace77974dcf2473e58c821790617445696	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(F)_Chapter_1:_Stardust_to_Stardust_.txt
49	15479	c96e2d8ffb705f884006e817448baca0a1abe84e0b43966571c24eb69e9e17a4	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(F)_Chapter_1_-_Stardust_to_Stardust.txt
50	22306	4b64666b749e83e41be2afc587ed98b23df86ee108b9575a3eb644ba948d4160	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(F)_Chapter_2-_Living_Sacrifice.txt
51	18867	5fffec9f8219d17f9dcb4951f21061641ced8e9a92415985bd06ae5a01464c80	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(F)_Chapter_3-_Lift_Up.txt
52	27420	fe21c269662112e63ae92118f80d1d68c5a94cb5fb3950a0d8cb1d0f3092b245	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(Final) Chapter: 7 - The Pit.txt
53	20429	fed00aabd1f95dcc0aa7dbf6227fb6076230e4ae064f0ddb592ba85c600a3f28	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(Final)_Chapter_1:_Stardust_to_Stardust.txt
55	19743	f2a509eb8a6314cbdbc0dd9a3984fe09cb720101a4de0615dab3d6353db395d3	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(Final)_Chapter_2-_Living_Sacrifice.txt
56	20516	a3cba70f46c50af68ae2cdb748915e80578e1bcd905624a4b077fdc99ea693fd	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(Final)_Chapter_3-_Lift_Up.txt
57	19556	857d3e50364461e0b6d5da420c508abc236a79cec9ff58e2504703474c106c07	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(Final)_Chapter_3:_Lift_Up.txt
59	20133	89c8a077b36cf7d7463a6619b2fcfaa4ecc785d073632f23d26344d344b3a9de	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(G)_Chapter_1:_Stardust_to_Stardust.txt
62	18992	ee97d6e6c16fe69851f0b11afe8419bd0db3c81bdaca8c8aa3180907983828f4	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(G)_Final_)_Chapter:_10_-_Forsaken.txt
63	30806	bf22ce21557a50c2fdc58559cbd033734c2fd219ece8d33b7420843ae38c8a7a	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(I)_(Notes)_Chapter:_1_Stardust_to_Stardust_.txt
64	30796	b312317429a1b16cffc80a3c0440af17c9b5114aa0881f411e798bf260abbb07	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(I)_Chapter:_1_Stardust_to_Stardust_.txt
65	23311	ff353a8f8b85d8a1c30402a7d73560085d1d521d179364d99c9e1b6cefb1f3e5	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(N)_CHAPTER_1-_STARDUST_TO_STARDUST.txt
66	18278	a3f8a9ed315a4125f5f8914df359effa2b908efad91a31e582276963b4f55292	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(N)_Chapter_1_-_Stardust_to_Stardust.txt
68	30359	bc447f90628a83907bfe50e58deb5df537fd6b29c6ebd56a82d6a8bde1c418ac	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(Notes)_Chapter_2-_Living_Sacrifice.txt
69	26308	bdb9be65b239eb1f6ce6f4c89dd8c20fb9fa40544e64184ee8bca1cbd90b1563	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(Notes)_Chapter_2:_Living_Sacrifice.txt
70	18374	d3930d8c70127bdfff766f64fdbdc0b49569ff350eb4b34ea662c647f6e05b29	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(O)_Chapter_1-_Stardust_to_Stardust.txt
71	25593	def6a20c031a95a97f99098eb8234027c5480db9358e3dd720ca14d2d4977c3f	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(P)_Chapter:_1_-_Stardust_to_Stardust.txt
72	21521	de4f89de5d2358aa19f4ef449f77895d53a3f9e5c4c1f61a75b8eed17dcd48cb	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(Prompt_Guide_(E))_Chapter_10:_Forsaken.txt
73	21556	94ca5a54505afaddd9289656cda026140fd8e73393999ed7ea6ef07be114f878	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(R) Chapter: 1 - Stardust to Stardust .txt
75	20937	a411b85dfefa6290a5c43c473e29c55225e5583d368e7acb4323cf87ce4b7e11	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(Revision_Prompt_(D))_Chapter_10:_Forsaken.txt
76	25907	eee19afab413c6b236dbde984f1f23b94aa2f887e755b7ca5b3097f3aa1e2c7d	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(Revision_Prompt_(N)__Chapter_1_-_Stardust_to_Stardust.txt
77	19376	84df8cece083daac32446a009797035b917b47d893ce731099bdd17c82f0e185	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(Revisions)_Chapter_1:_Stardust_to_Stardust.txt
78	20901	462f0ec432f3770717b510047fefd18e5cfadf54dcd02ee3a58137ac4e03f646	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(SDP)_v2.txt
79	19237	413bb490ceb065d81f246f805f4c5f51b6386691aeb1381794aa6c1219127819	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(X)_Chapter_1:_Stardust_to_Stardust.txt
80	20047	2f87ee40988db8da93ebbeded84f5c9114589e27b096553255032f93ac95dfee	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(X)_Chapter_1_-_Stardust_to_Stardust.docx.txt
81	20060	156dd36a3a3714a6dd8133801b703c9328fc1ed67140da4fff41fde8fb898851	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(X)_Chapter_1_-_Stardust_to_Stardust.txt
82	20127	4731381a89e9a28e59734be8abfc3cb88c005b8d39e0933249d73fbdc388b1eb	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(X)_Chapter_1__Stardust_to_Stardust_(1).txt
83	22477	2c46394ae4504b53370f7b68346176e55a27ac25f2f1118986446c1c731d49c6	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(X)_Chapter_1__Stardust_to_Stardust_(2).txt
84	21441	dc96cd4ccdbf6b867d47cdcf55a4a8ee622e2ddcc8ec642e8109de20d9f999bf	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/(Z)_Chapter_1:_Stardust_to_Stardust.txt
85	19162	749f0ad8c461b893931d5d0092d9ceb819c83ab28f4db900d3e648e9233cf961	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/*Chapter_1:_Stardust_to_Stardust.txt
86	18574	4deb4b6e57290eb1976af5fc14e6e78357bf9e5f2ac8f365bf6b92e26b326ce9	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/*Chapter_2-_Living_Sacrifice.txt
87	19636	7eb88abd798448b26c65138dc39207e16c171edb0fa70c1435e1ccea7eb6d077	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/*Chapter_3:_Lift_Up.txt
88	18326	5976a29930ad6c4b52d2e0cafb0352ca73ca6c3e5e5058cb8d7588ea73ba08d7	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/*Chapter_4:_Pilgrimage.txt
89	27116	6f6dfb4544e6c73f224edadcb34de146d856b87e685f5cb209546bb594c3b325	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/*Chapter_7:_The_Pit.txt
90	22969	1c4226d86ff1fda2a138f732520fb534a49a6cbc9e3dbd6acaa8c9000f87a728	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/*Chapter_8:_Sea_People.txt
91	27768	4607230c1af2a090130a5a530855de8441f15f4f3e1e439e34a0d489e0e76f54	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/*Chapter_9:_The_Ascent.txt
92	8940	436c0d7219682e5c4a450cafac4f2888aa692ca51b98774b9beea8bd28f7f083	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/-Final_Chapter_1_Revision_Prompt-.txt
93	21666	fed2557694b216eeacc30777fc0d2290cef4a15360123b64b9b2f4edb320dad8	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/1.0_Revision.txt
94	4609	805f49679d7f49b759afe34f4de2facb56febdb7dfeb0e75a4b27b9b86ef1b74	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/10.0_Blueprint_for_The_Ascent_of_Daniel:_The_Archetype_of_Sacrifice_(NYT_Bestseller_Focus).txt
96	13975	7f9f1d62b23acaf0b5cb6f25f60e24acac0278b6c4add5f8f48e5b3c88906dbb	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/10.0_Mass_Market.txt
98	7590	ae977705455b465852d9206c7db7fb5a880477b6f4ba7bf66f98cdee84a208a7	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/11.0_Final_Revision.txt
100	6433	def5de7ba75333018c56a1778c4de9cb2372b9b5eecf0f43e4b1708e5186c839	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/12.0_Perfection.txt
101	8216	989400fc0533181bae14222cc590154bba71b0486904e3a84c30fc37848d8df6	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/13.0_Claude.txt
104	4533	5c3d4506d9ed9f8746249268ca6446468a01730d36ebfaa626d99a90f19ebc32	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/2.0_This_is_the_critical_adjustment—the_final_layer_that_elevates_philosophical_storytelling_into_timeless,_devastating_human_tragedy.txt
105	6905	a027efe864e247c30d13320926942f23dd4569fb76c909dc6ac85882882f309c	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/3.0_Final_.txt
106	5085	089b3617b7dbc3b46ceb43a7053f55662dd11c5b931bc0b2453d8e66c5568a2d	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/3.0_Literary_&_Archetypal_Fusion_Rulebook_(The_Cat_God_&_The_Primal_Self).txt
108	3660	037b84bf907c78cc61e2c625d501280fefe94377506abfde55097d803efacef5	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/4.0_(12_Rules_For_Life).txt
109	3895	59ed13c0f886611dc08299da8b74306aa860383038e2a645b6436c04c9af25d8	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/4.0_Emotional_&_Archetypal_Editing_Rulebook_(Visceral_Empathy_Focus).txt
111	30624	18dc5308391af436012eb9c191997c1df6eb653e86694e74d3dd5e2bf818a8a6	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/4.0_REVISED.txt
112	9382	4918a6560b788218b4ce5c60b791ec5d26709ee323cdb1dca5f1ae9fcc6a332b	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/5.0_Final_Guide.txt
114	3736	8806764ecf11b79fd52cd76012ca7ca16d3ebf04608cc9272a42ea59aa43788e	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/6.0_Core_Editing_Rules_for_Thematic_&_Archetypal_Hyperlinking.txt
115	20099	3c872c3bfc288fec2390b7abe5154e6b8fdf96c971adc1eb0eb4c8f2b4b98936	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/6.0_HIGHEST_PRIORITY_(Read_this_first_and_then_again_last)_.txt
118	3603	cff9a0672fb9cde54adc1d1cec1f0420dd2cf9bef7c01081a9e2a51bc083daff	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/7.0_Chapter_Refinery.txt
119	23510	ec2abf8715582823676ed2185fa642d6af167fee06a2f902d8e066f18b9d9b75	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/7.0_Nuclear_Edit!!!!_(CRITICAL!_DIRE!_EMERGENCY!!!).txt
121	4265	c2728a04fac619b68d823b8435b642dddcd8e8a92954291e65f85a9dafce756b	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/8._0_This_is_the_final,_most_crucial_step:_ensuring_the_narrative's_structure_is_so_perfectly_weighted_that_the_profound_sadness—the_weeping_of_self-recognition—is_not_a_chance_event,_but_an_earned,_inevitable_catharsis_for_the_reader.txt
122	8465	91decb7105e2fd2e9dcc9e7ecfff1d0b9e753a0718f63686d6643d83d60269b4	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/9.0_Aesthetic.txt
123	3317	df4c319ba7dd2f13345fb32a9a9801599b210fccfcccaa5b8de4126a124ee609	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/9.0_Stones.txt
127	21887	110eff4dfbfd59b2f0fc36569e381680dfa2a664957ae819b61f749dc5f9191f	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter:_10_-_MASTER_BRIEFING.txt
132	20311	8bbcae289b2e8663096e93692435d3e3954c52e600caf76a6ce15c77ad955995	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_10.1.txt
134	17281	709467bf5fda4afdcc4ba4a7a273382e7619e74b6faa8ba6cce56f4914557ede	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_10:_Forsaken.txt
136	26347	1f83b40c13f98acc8c032585acdc2d0b695f02808880a2a1326bab88bdd59680	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_10_Version_F.txt
137	21365	96980a3e89e556c8e4fcec9f322095c3aa882e78b90e532669353869b056c573	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_11.8.txt
138	26263	8d3f998fafb7852f66f9a055c6233295c82b0fdbb2450663ec63c7e3961d23e1	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_11._Forsaken.txt
139	17060	960479e956f95dc5674a44b34a4c5bc562dced3d80c43f4622b3c4ad2acc50e9	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_13:_Exodus.txt
140	22126	fdb3bca33cd62b25ea0fdb972186d12d184584618caebf1a9da66d1fdc938c3b	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_1:_Stardust_to_Stardust.txt
142	5703	83c822cf538a92c8c74f010367dff078e261ede913458486c23fa4e80e953f74	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_1_Integration.txt
143	18717	d511e6889a5844b92512d03c8948c868ea4b6564323ffa9c4778794a0b9aef43	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_1_Integration_2.0.txt
144	7124	6f944df5c98f3189de5ee6aec61b676d446e7ba5a271a2480f035492eabc1026	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_1_Integration_Prompt.txt
145	16922	8b49415c9e3f12be52786b688676930b0ac71414034087a141d2f5e849390e80	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_1_Merge_Prompt.txt
146	31718	9dca02d6617846d197060999a0dcd2efbcf2871594f56087ab90789ee8c62b8c	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_1_Version_O.txt
147	19181	6c81f087ba494a2d042f846c9c8464141a4e1837fa20615e3bebc95beade1f54	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_2:_Living_Sacrifice.txt
149	16963	4b36a5caf726f00c5d17d0871e704be96894cb11849d1e4c5e20341b05581fdf	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_2_-_Commerciality_and_Marketing_3.0.txt
150	15223	be2f1be65c9dd478de2fa29b17ffaa5ae0617535ee7b744f7de3a8d1f98db117	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_2_-_Master_Revision_Prompt_2.0.txt
152	19673	99e11bbe9eaf2b625f80b6afbfbcefe8df049b790a44ac8b3816871d68c0b091	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_3:_Lift_Up.txt
156	18833	63b181b1f87727ee5202fe1f59a797a227f379a2446db5edd1cb47d50215b8a7	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_4:_Pilgrimage.txt
157	19304	504e4ad012551e123f652e6e9a86b61a870895e4c590796b9a2dd90fd51952de	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_5:_The_Snare.txt
158	21547	5b7b91ab7dc53343297f6b32b4a59443e75b629c2f1484de0f093bc2ff802a37	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_6:_Beelzebub,_Beelzebub.txt
159	28338	ef95514e7432470db9a54a1e97d2c8bf05432735fa895646c44ef8b012dfd367	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_8.1.txt
160	24065	a3943e94157271c151474480bb14df00ce1e257c4a6e015be241dacf98f28472	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_8:_Sea_People.txt
161	27027	bb2740591c75d6dd0ee22abf60c25523302ff6758cfd3052f1b2c72e9ffe191b	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_9:_The_Ascent.txt
162	30850	eab506d365537d22963b738a75764c8c9a658e594b582b1e2443e9695da8c6ff	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Could_you_condense_that_chapter_by_500_to_1,000_w....txt
