1R2Y1Z5vpxbGFienlix_MBycUzjsEioARy3iEtyh6iwI	(E) Chapter 10: Forsaken
1OsSCXKukOBpvFWhdPN1zezpZns4goyxma4LpCeh65gY	The Weight of the Sky: Chapter 10 V4
1TWL07cVRtm1up97NeN3gXiB3S1KmQVgVKW7ax-D8sts	(D) Chapter 10: Forsaken
1RAX0RnxE_BjKSt8o00HV4O0RQINFTlmTjaf5jIVBB4o	(Revision Prompt (D)) Chapter 10: Forsaken
1WsdttLL1kbujxLyedbUOcmMheKspK9E26RM975_clwc	(Revision Prompt (C)) Chapter 10: Forsaken
1vd4nU1hUkJblTtaTt2Se4e2QUBV8TQZ6NdaSZOe6DcQ	Version * CHAPTER 10- FORSAKEN
1HOwFTTV3qXEgLehumyXCikug0EFVPVl-dlEI-AHMURs	(C) Chapter 10: Forsaken
1YolOPCW-Y6wjlvOetbttqrtmG9Z15F4iUrIKXCFQ0ns	(C) Chapter 10: Forsaken
1qCMa99yPFqsZdjG3SXRWYnMfeUf6q9YZJRJewx2TRQ4	Chapter 10_ Forsaken
1G3hxjxAN2RYYFEQ2LSS4Bs3VUrDezNsS7lOz_29XnAM	(Final) Chapter: 7 - The Pit
1Oc5a8Cwy91Hg-xdfROvUtr8OjDCGRlw7lz7CBC_l5kI	Chapter: 8 (Final)
1lMmVYvwHmYuExByWEwlh-rGpUbirDPG7uPeR4gFh37g	(Final) Chapter 5 - The Snare
1GLOQdhB-5C8W4hJ32jLGWakyv3cFshxBMGxtZTCUysY	(M) Chapter 1- Stardust to Stardust
1ySPYKb-liIuWucG5iCAV8GGzWCCWRKDKp9DDBnat0OI	(O) Chapter 1- Stardust to Stardust
1SWHeMSYXvpYEhu_qRTXHMyigv39ePsT2IQ7UG1X7vQ8	(N) CHAPTER 1- STARDUST TO STARDUST
